"mineral name","point group","space group"
"Almandine","4/m32/m","Ia3d"
"Almarudite","6/m2/m2/m","P6/mcc"
"Almarudite","6/m2/m2/m","P6/mcc"
"Almeidaite",3,"R3"
"Almeidaite",3,"R3"
"Almeidaite",3,"R3"
"Alnaperboeite-(Ce)","2/m","P21/m"
"Alnaperboeite-(Ce)","2/m","P21/m"
"Alnaperboeite-(Ce)","2/m","P21/m"
"Alnaperboeite-(Ce)","2/m","P21/m"
"Alnaperboeite-(Ce)","2/m","P21/m"
"Alpeite","2/m2/m2/m","Pnmm"
"Alpersite","2/m","P21/c"
"Alpersite","2/m","P21/c"
"Alsakharovite-Zn","m","Cm"
"Alsakharovite-Zn","m","Cm"
"Alstonite",1,"C1"
"Alstonite"," "," "
"Alstonite"," "," "
"Alstonite"," "," "
"Alstonite","3mm","P31m"
"Altaite","4/m32/m","Fm3m"
"Altaite","4/m32/m","Fm3m"
"Altaite","4/m32/m","Fm3m"
"Altaite","4/m32/m","Fm3m"
"Altaite"," "," "
"Altaite","4/m32/m","Fm3m"
"Altaite","4/m32/m","Fm3m"
"Altaite","4/m32/m","Fm3m"
"Altaite","4/m32/m","Fm3m"
"Alterite"," "," "
"Althausite"," "," "
"Althausite","2/m2/m2/m","Pnma"
"Althupite",1,"P1"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Altisite","2/m","C2/m"
"Aluminite","2/m","P21/c"
"Aluminium","4/m32/m","Fm3m"
"Aluminium","4/m32/m","Fm3m"
"Aluminium","4/m32/m","Fm3m"
"Aluminium","4/m32/m","Fm3m"
"Aluminoceladonite","2/m","C2/m"
"Aluminoceladonite","2/m","C2/m"
"Aluminoceladonite",322,"P3112"
"Aluminocerite-(Ce)","3mm","R3c"
"Aluminocerite-(Ce)","3mm","R3c"
