,mineral name,point group,space group
11447,Krieselite,2/m2/m2/m,Pbnm
11448,Krinovite,1,P1
11450,Kristiansenite,1,C1
11451,Krivovichevite,3mm,R3c
11454,Krohnkite,2/m,P21/c
11456,Krotite,2/m,P21/n
11459,Kroupaite,2/m2/m2/m,Pbca
11460,Kruijenite,4/m2/m2/m,P4/nnc
11461,Krupkaite,2mm,Pmc21
11465,Krupkaite,2mm,Pb21m
11471,Krupkaite,2/m2/m2/m,Pmcn
11473,Krutaite,332/m,Pa3
11475,Krutovite,332/m,Pa3
11476,Kryachkoite,2mm,Cmc21
11477,Kryzhanovskite,2/m2/m2/m,Pbna
11483,Ktenasite,2/m,P21/c
11487,Kuannersuite-(Ce),3,P3
11488,Kudriavite,2/m,C2/m
11489,Kudryavtsevaite,2/m2/m2/m,Pnma
11491,Kufahrite,6/m2/m2/m,P63/mmc
11496,Kukharenkoite-(Ce),2/m,P21/m
11499,Kukharenkoite-(La),2/m,P21/m
11500,Kukisvumite,2/m2/m2/m,Pccn
11502,Kuksite,322,P321
11505,Kulanite,2/m,P21/m
11506,Kuliginite,3,R3
11507,Kuliokite-(Y),1,P1
11509,Kullerudite,2/m2/m2/m,Pnnm
11510,Kumdykolite,2/m2/m2/m,Pmnn
11511,Kummerite,1,P1
11513,Kumtyubeite,2/m,P21/a
11514,Kunatite,2/m,P21/c
11516,Kupcikite,2/m,C2/m
11518,Kupletskite,1,P1
11519,Kupletskite,2/m,C2/c
11533,Kupletskite-(Cs),1,P1
11534,Kuramite,42m,I42m
11536,Kuratite,1,P1
11538,Kurchatovite,2/m2/m2/m,Pbca
11539,Kurgantaite,1,P1
11543,Kurnakovite,1,P1
11544,Kusachiite,4/m2/m2/m,P4/ncc
11549,Kushiroite,2/m,C2/c
11550,Kutinaite,4/m32/m,Pm3m
11551,Kutnohorite,3,R3
11558,Kutnohorite,32/m2/m,R3c
11565,Kuvaevite,3mm,R3m
11566,Kuzelite,3,R3
11568,Kuzmenkoite-Mn,m,Cm
11569,Kuzmenkoite-Zn,m,Cm
11570,Kuzminite,4/m2/m2/m,I4/mmm
11572,Kuzminite,4/m2/m2/m,P42/mnm
11573,Kuznetsovite,332,P213
11574,Kvanefjeldite,2/m2/m2/m,Pcab
11579,Kyanite,1,P1
11596,Kyanoxalite,6,P63
11598,Kyawthuite,2/m,I2/c
11599,Kyrgyzstanite,2/m,P21/n
11601,Kyzylkumite,2/m,P21/c
11602,Laachite,2/m,C2/c
11608,Labuntsovite-Fe,2/m,C2/m
11609,Labuntsovite-Mg,2/m,C2/m
11612,Labuntsovite-Mn,2/m,C2/m
11613,Labuntsovite-Mn,2/m,B2/m
11615,Labyrinthite,3,R3
11616,Lacroixite,2/m,C2/c
11617,Laffittite,m,Aa
11619,Laflammeite,2/m,C2/m
11620,Laforetite,42m,I42d
11621,Lafossaite,4/m32/m,Pm3m
11623,Lagalyite,2,C2
11624,Lahnsteinite,1,P1
11627,Laihunite,2/m,P21/b
11629,Laitakarite,32/m2/m,R3m
11630,Lakargiite,2/m2/m2/m,Pnma
11636,Lakargiite,2/m2/m2/m,Pbnm
11637,Lakebogaite,m,Cc
11638,Lalondeite,1,P1
11642,Lammerite,2/m,P21/a
11643,Lammerite-beta,2/m,P21/c
11648,Lamprophyllite,2/m,C2/m
11650,Lamprophyllite,2/m2/m2/m,Pnmn
11652,Lanarkite,2/m,C2/m
11653,Landauite,3,R3
11654,Landesite,2/m2/m2/m,Pbna
11657,Langbanite,3mm,P31m
11658,Langbanite,2/m,C2/m
11659,Langbanshyttanite,1,P1
11661,Langbeinite,332,P213
11662,Langhofite,1,P1
11664,Langisite,2/m2/m2/m,Pnma
11669,Langite,m,Pc
11671,Lanmuchangite,332/m,Pa3
11675,Lansfordite,2/m,P21/c
11677,Lanthanite-(Ce),2/m2/m2/m,Pbnb
11678,Lanthanite-(La),2/m2/m2/m,Pbnb
11680,Lanthanite-(La),2/m2/m2/m,Pccn
11682,Lanthanite-(Nd),2/m2/m2/m,Pbnb
11691,Lanthanite-(Nd),2/m2/m2/m,Pccn
11692,Lapeyreite,2/m,C2/m
11693,Laphamite,2/m,P21/n
11696,Lapieite,222,P212121
11697,Laplandite-(Ce),2/m2/m2/m,Pmmm
11698,Laptevite-(Ce),3mm,R3m
11702,Larderellite,2/m,P21/c
11704,Larisaite,m,Pm
11706,Larnite,2/m,P21/n
11714,Larsenite,2mm,Pna21
11716,Lasalite,2/m,C2/c
11718,Lasnierite,2/m2/m2/m,Pbcn
11719,Latiumite,2,P21
11720,Latrappite,2/m2/m2/m,Pbnm
11722,Laueite,1,P1
11725,Laumontite,2/m,C2/m
11742,Lauraniite,2/m,P21/c
11745,Laurelite,6,P6
11747,Laurentianite,3,P3
11749,Laurentthomasite,6/m2/m2/m,P6/mcc
11752,Laurionite,2/m2/m2/m,Pcmn
11753,Laurionite,2/m2/m2/m,Pbnm
11754,Laurionite,2/m2/m2/m,Pnam
11758,Laurite,332/m,Pa3
11760,Lausenite,2/m,P21/m
11762,Lautarite,2/m,P21/n
11763,Lautenthalite,2/m,P21/c
11764,Lautite,2/m2/m2/m,Pnma
11766,Lautite,2mm,Pna21
11768,Lavendulan,2/m,P21/n
11770,Lavenite,2/m,P21/a
11773,Laverovite,1,P1
11778,Lavinskyite,2/m2/m2/m,Pcnb
11779,Lavoisierite,2/m2/m2/m,Pnmm
11782,Lawrencite,32/m2/m,R3m
11787,Lawrencite,32/m2/m,P3m1
11790,Lawsonbauerite,2/m,P21/c
11792,Lawsonite,2/m2/m2/m,Cmcm
11794,Lawsonite,2/m,P21/m
11796,Lawsonite,2mm,P21cn
11797,Lawsonite,2/m2/m2/m,Pmcn
11802,Lawsonite,2/m2/m2/m,Ccmm
11841,Lazulite,2/m,P21/c
11843,Lazurite,43m,P43n
11845,Lazurite,332,P23
11846,Lazurite,1,P1
11847,Lazurite,2/m2/m2/m,Pnaa
11848,Lead,4/m32/m,Fm3m
11853,Leadamalgam,4/m2/m2/m,I4/mmm
11856,Leadhillite,2/m,P21/a
11859,Lecontite,222,P212121
11864,Lecoqite-(Y),6,P63
11868,Leesite,2/m2/m2/m,Pbca
11870,Lefontite,2/m2/m2/m,Cmca
11875,Legrandite,2/m,P21/c
11879,Leguernite,2,P2
11881,Lehmannite,2/m,C2/m
11882,Lehnerite,2/m,P21/n
11884,Leifite,32/m2/m,P3m1
11887,Leightonite,2/m,C2/c
11888,Leisingite,32/m2/m,P31m
11890,Leiteite,2/m,P21/c
11892,Lemanskiite,422,P4122
11896,Lemmleinite-Ba,2/m,C2/m
11899,Lemmleinite-Ba,m,Cm
11900,Lemmleinite-Ba,2/m,I2/m
11902,Lemmleinite-K,2/m,C2/m
11904,Lemoynite,2/m,C2/c
11905,Lenaite,42m,I42d
11911,Leningradite,2/m2/m2/m,Ibam
11912,Leogangite,2/m,C2/c
11913,Leonardsenite,2/m2/m2/m,Imma
11915,Leonite,2/m,C2/m
11916,Leonite,2/m,P21/a
11917,Leonite,2/m,I2/a
11922,Leoszilardite,2/m,C2/m
11923,Lepageite,1,P1
11925,Lepersonnite-(Nd),2/m2/m2/m,Pnnm
11927,Lepidocrocite,2/m2/m2/m,Bbmm
11928,Lepidocrocite,2/m2/m2/m,Cmcm
11929,Lepidocrocite,2mm,Cmc21
11930,Lepidocrocite,2/m2/m2/m,Amam
11933,Lepkhenelmite-Zn,m,Cm
11934,Lermontovite,2/m2/m2/m,Ccca
11935,Letovicite,2/m,C2/c
11939,Leucite,4/m32/m,Ia3d
11941,Leucite,4/m,I41/a
11958,Leucophanite,1,P1
11959,Leucophanite,222,P212121
11962,Leucophoenicite,2/m,P21/a
11966,Leucophosphite,2/m,P21/n
11968,Leucosphenite,2/m,C2/m
11969,Leucostaurite,2mm,Pnn2
11970,Levantite,2,P21
11972,Leverettite,32/m2/m,R3m
11973,Levinsonite-(Y),2/m,P2/n
11978,Levyne-Ca,32/m2/m,R3m
11986,Levyne-Na,32/m2/m,R3m
11996,Leydetite,2/m,C2/c
11997,Liandratite,32/m2/m,P31m
11998,Liberite,m,Pn
11999,Libethenite,2/m2/m2/m,Pnnm
12028,Libethenite,2/m,P21/n
12030,Liebauite,2/m,C2/c
12031,Liebenbergite,2/m2/m2/m,Pbnm
12092,Liebermannite,4/m,I4/m
12094,Liebigite,2mm,Bba2
12095,Liguowuite,2/m,P21/n
12098,Likasite,2/m2/m2/m,Pcmn
12100,Lileyite,2/m,C2/m
12101,Lillianite,2/m2/m2/m,Bbmm
12107,Lillianite,2/m2/m2/m,Pbnm
12112,Lime,4/m32/m,Fm3m
12170,Limousinite,2/m,P21/c
12175,Linarite,2/m,P21/m
12177,Lindackerite,1,P1
12179,Lindbergite,2/m,C2/c
12190,Lindgrenite,2/m,P21/n
12193,Lindqvistite,6/m2/m2/m,P63/mmc
12194,Lindsleyite,3,R3
12195,Lindstromite,2/m2/m2/m,Pbnm
12196,Linekite,2/m2/m2/m,Pnnm
12198,Lingbaoite,3mm,R3m
12201,Linnaeite,4/m32/m,Fd3m
12203,Lintisite,2/m,C2/c
12204,Linzhiite,4/m2/m2/m,P4/mmm
12210,Liottite,6,P6
12211,Lipscombite,422,P43212
12217,Liraite,2/m2/m2/m,Pcab
