,mineral name,point group,space group
6061,Ekanite,422,I422
6064,Ekatite,6mm,P63mc
6065,Ekebergite,2/m,P2/c
6069,Elasmochloite,2/m,P21/n
6081,Elbaite,3mm,R3m
6090,Elbrusite,4/m32/m,Ia3d
6091,Eldfellite,2/m,C2/m
6092,Eldragonite,2/m2/m2/m,Pmcn
6094,Eleomelanite,2/m,P21/n
6095,Elgoresyite,2/m,C2/m
6096,Eliopoulosite,322,P3221
6098,Eliseevite,2/m,C2/c
6100,Ellenbergerite,6,P63
6106,Ellinaite,2/m2/m2/m,Pnma
6107,Ellingsenite,1,P1
6108,Elliottite,2/m,C2/m
6110,Ellisite,3mm,R3m
6112,Elpasolite,332/m,Pa3
6113,Elpasolite,4/m32/m,Fm3m
6117,Elpidite,2/m2/m2/m,Pbcm
6120,Eltyubyuite,43m,I43d
6122,Elyite,2/m,P21/c
6123,Embreyite,2/m,P21/m
6125,Emeleusite,2/m2/m2/m,Acam
6126,Emilite,2mm,Pmc21
6127,Emmerichite,2/m,C2/m
6130,Emmonsite,1,P1
6132,Emplectite,2/m2/m2/m,Pnma
6134,Empressite,6/m2/m2/m,P6/mmm
6138,Empressite,2/m2/m2/m,Pmnb
6143,Enargite,2mm,Pnm21
6144,Enargite,2mm,Pmn21
6148,Engelhauptite,6/m2/m2/m,P63/mmc
6149,Englishite,2/m,A2/a
6150,Enneasartorite,2/m,P21/c
6151,Enstatite,2/m2/m2/m,Pbca
6181,Enstatite,2/m,C2/c
6206,Enstatite,2/m,P21/c
6261,Eosphorite,2/m2/m2/m,Bbam
6274,Eosphorite,2/m2/m2/m,Cmca
6277,Ephesite,1,C1
6281,Epididymite,2/m2/m2/m,Pnam
6282,Epididymite,2/m2/m2/m,Pnma
6284,Epidote,2/m,P21/m
6310,Epidote-(Sr),2/m,P21/m
6311,Epifanovite,2/m,P21/m
6313,Epistilbite,2/m,C2/m
6314,Epistilbite,1,C1
6320,Epistolite,1,P1
6321,Epsomite,222,P212121
6331,Erazoite,32/m2/m,R3m
6334,Ercitite,2/m2/m2/m,Cmca
6336,Erdite,2/m,C2/c
6337,Ericaite,2mm,Pca21
6340,Ericlaxmanite,1,P1
6343,Ericssonite,2/m,C2/m
6344,Ericssonite,2/m2/m2/m,Immm
6347,Ericssonite,2/m2/m2/m,Pnmn
6348,Erikapohlite,2/m,C2/c
6350,Erikjonssonite,2/m,C2/c
6351,Eringaite,4/m32/m,Ia3d
6354,Eriochalcite,2/m2/m2/m,Pbmn
6358,Erionite-Ca,6/m2/m2/m,P63/mmc
6366,Erionite-K,6/m2/m2/m,P63/mmc
6372,Erionite-Na,6/m2/m2/m,P63/mmc
6385,Erlichmanite,332/m,Pa3
6387,Ermakovite,6/m2/m2/m,P6/mmm
6388,Ernienickelite,3,R3
6389,Erniggliite,3,P3
6390,Ernstburkeite,3,R3
6393,Ernstite,2/m2/m2/m,Bbam
6394,Ershovite,1,P1
6395,Erssonite,32/m2/m,P3c1
6398,Erythrite,2/m,C2/m
6400,Erythrosiderite,2/m2/m2/m,Pnma
6403,Erzwiesite,2/m2/m2/m,Cmcm
6404,Esdanaite-(Ce),222,P212121
6406,Eskebornite,42m,P42c
6411,Eskolaite,32/m2/m,R3c
6436,Espadaite,2/m2/m2/m,Ccca
6437,Esperanzaite,2/m,P21/m
6440,Esperite,2/m,P21/n
6441,Esquireite,2,C2
6443,Esseneite,2/m,C2/c
6444,Ettringite,3mm,P31c
6448,Ettringite,6/m2/m2/m,P63/mcm
6453,Eucairite,2/m2/m2/m,Pmmn
6454,Eucairite,4/m2/m2/m,P4/nmm
6456,Euchlorine,2/m,C2/c
6458,Euchroite,222,P212121
6463,Euclase,2/m,P21/a
6464,Euclase,2/m,P21/c
6470,Eucryptite,3,R3
6474,Eucryptite,622,P6422
6483,Eudialyte,32/m2/m,R3m
6484,Eudialyte,3mm,R3m
6495,Eudidymite,2/m,C2/c
6498,Eugenite,4/m32/m,Fm3m
6501,Eulytine,43m,I43d
6509,Euxenite-(Y),2/m2/m2/m,Pbcn
6511,Evdokimovite,2/m,P21/n
6514,Eveite,2/m2/m2/m,Pnnm
6516,Evenkite,2/m,P21/a
6517,Evenkite,2/m2/m2/m,Pbcm
6518,Eveslogite,2/m,P2/m
6519,Evseevite,2/m2/m2/m,Pbcn
6520,Ewaldite,6mm,P63mc
6522,Ewingite,4/m2/m2/m,I41/acd
6523,Eylettersite,32/m2/m,R3m
6527,Ezcurrite,1,P1
6529,Fabianite,2/m,P21/a
6530,Fabriesite,2mm,Pna21
6532,Faheyite,322,P3121
6533,Fairbankite,1,P1
6535,Fairchildite,6/m2/m2/m,P63/mmc
6538,Fairfieldite,1,P1
6541,Faizievite,1,P1
6543,Falgarite,2/m,C2/c
6546,Falottaite,2/m2/m2/m,Acaa
6547,Falsterite,2/m,P21/c
6550,Famatinite,42m,I42m
6552,Fanfaniite,2/m,C2/c
6555,Fangite,2/m2/m2/m,Pnma
6556,Fantappieite,3,P3
6557,Farneseite,6/m,P63/m
6558,Farringtonite,2/m,P21/n
6559,Fassinaite,2/m2/m2/m,Pnma
6563,Faujasite-Ca,4/m32/m,Fd3m
6566,Faujasite-Na,4/m32/m,Fd3m
6567,Faujasite-Na,332/m,Fd3
6568,Faustite,1,P1
6570,Favreauite,4/m,P4/n
6572,Fayalite,2/m2/m2/m,Pbnm
6715,Fayalite,2/m2/m2/m,Pnma
6717,Fedorite,1,P1
6719,Fedorovskite,2/m2/m2/m,Pbam
6720,Fedotovite,2/m,C2/c
6721,Fehrite,2/m,P21/c
6723,Feiite,2/m2/m2/m,Cmcm
6725,Feitknechtite,32/m2/m,P3m1
6726,Feklichevite,3mm,R3m
6728,Felbertalite,2/m,C2/m
6731,Felsobanyaite,2,P21
6733,Fenaksite,1,P1
6736,Fencooperite,3mm,P3m1
6737,Fengchengite,32/m2/m,R3m
6738,Feodosiyite,2/m,P21/c
6742,Ferberite,2/m,P2/c
6745,Ferchromide,4/m32/m,Pm3m
6746,Ferdowsiite,2/m,P21/n
6748,Fergusonite-(Ce),4/m,I41/a
6753,Fergusonite-(Y),4/m,I41/a
6754,Fergusonite-(Y),2,I2
6756,Fergusonite-(Y)-beta,2/m,I2/a
6758,Fermiite,2mm,Pmn21
6759,Fernandinite,2/m,C2/m
6760,Feroxyhyte,32/m2/m,P3m1
6761,Ferraioloite,2/m,I2/m
6764,Ferrarisite,1,P1
6765,Ferriakasakaite-(Ce),2/m,P21/m
6766,Ferriakasakaite-(La),2/m,P21/m
6769,Ferriallanite-(Ce),2/m,P21/m
6770,Ferriallanite-(La),2/m,P21/m
6773,Ferriandrosite-(La),2/m,P21/m
6775,Ferribushmakinite,2/m,P21/m
6776,Ferricopiapite,1,P1
6792,Ferricoronadite,4/m,I4/m
6793,Ferrierite-K,2/m2/m2/m,Immm
6794,Ferrierite-Mg,2/m2/m2/m,Immm
6805,Ferrierite-Na,2/m2/m2/m,Immm
6807,Ferrierite-Na,2/m,P21/n
6808,Ferrierite-NH4,2/m2/m2/m,Immm
6809,Ferri-fluoro-katophorite,2/m,C2/m
6812,Ferri-fluoro-leakeite,2/m,C2/m
6815,Ferri-ghoseite,2/m,C2/m
6816,Ferri-hellandite-(Ce),2/m,P2/a
6817,Ferrihollandite,2/m,P2/n
6818,Ferrihydrite,3,P3
6819,Ferrihydrite,32/m2/m,P31c
6820,Ferrihydrite,6mm,P63mc
6823,Ferri-kaersutite,2/m,C2/m
6825,Ferri-katophorite,2/m,C2/m
6826,Ferri-leakeite,2/m,C2/m
6831,Ferrilotharmeyerite,2/m,C2/m
6837,Ferri-mottanaite-(Ce),2/m,P2/a
6838,Ferrinatrite,3,P3
6841,Ferri-obertiite,2/m,C2/m
6844,Ferri-pedrizite,2/m,C2/m
6845,Ferriperboeite-(Ce),2/m,P21/m
6846,Ferriperboeite-(La),2/m,P21/m
6847,Ferriprehnite,2mm,Pma2
6849,Ferrirockbridgeite,2/m2/m2/m,Bbmm
6850,Ferrisanidine,2/m,C2/m
6851,Ferrisepiolite,2/m2/m2/m,Pncn
6854,Ferrisicklerite,2/m2/m2/m,Pmnb
6855,Ferrisicklerite,2/m2/m2/m,Pbnm
6859,Ferri-taramite,2/m,C2/m
6860,Ferrivauxite,1,P1
6861,Ferri-winchite,2/m,C2/m
6863,Ferro-actinolite,2/m,C2/m
6873,Ferroalluaudite,2/m,C2/c
6876,Ferroaluminoceladonite,2/m,C2/m
6877,Ferro-anthophyllite,2/m2/m2/m,Pnma
6885,Ferroberaunite,2/m,C2/c
6887,Ferrobobfergusonite,2/m,P21/n
6889,Ferrobustamite,1,A1
6892,Ferrocarpholite,2/m2/m2/m,Ccca
6894,Ferroceladonite,2/m,C2/m
6896,Ferrochiavennite,2/m,P21/c
6898,Ferroefremovite,332,P213
6900,Ferroericssonite,2/m,C2/m
6902,Ferro-ferri-fluoro-leakeite,2/m,C2/m
6905,Ferro-ferri-hornblende,2/m,C2/m
6908,Ferro-ferri-katophorite,2/m,C2/m
6909,Ferro-ferri-nyboite,2/m,C2/m
6911,Ferro-ferri-obertiite,2/m,C2/m
6912,Ferro-ferri-pedrizite,2/m,C2/m
6913,Ferrofettelite,2,C2
6917,Ferro-fluoro-edenite,2/m,C2/m
6918,Ferro-fluoro-pedrizite,2/m,C2/m
6921,Ferrohogbomite-2N2S,6mm,P63mc
6923,Ferro-holmquistite,2/m2/m2/m,Pnma
6925,Ferro-hornblende,2/m,C2/m
6926,Ferroindialite,6/m2/m2/m,P6/mcc
6929,Ferrokentbrooksite,3mm,R3m
6933,Ferrokinoshitalite,2/m,C2/m
6934,Ferrolaueite,1,P1
6936,Ferronickelplatinum,4/m2/m2/m,P4/mmm
6938,Ferronigerite-2N1S,32/m2/m,P3m1
6939,Ferronigerite-6N6S,3,R3
6941,Ferronigerite-6N6S,32/m2/m,R3m
6942,Ferronordite-(Ce),2/m2/m2/m,Pcca
6943,Ferronordite-(La),2/m2/m2/m,Pcca
6944,Ferro-papikeite,2/m2/m2/m,Pnma
6947,Ferro-pedrizite,2/m,C2/m
6949,Ferroqingheiite,2/m,P21/n
6950,Ferrorhodonite,1,P1
6951,Ferrorockbridgeite,2/m2/m2/m,Bbmm
6956,Ferrorosemaryite,2/m,P21/n
6959,Ferroselite,2/m2/m2/m,Pnnm
6974,Ferroselite,2/m2/m2/m,Pmnn
6975,Ferrosilite,2/m2/m2/m,Pbca
7004,Ferrosilite,2/m,C2/c
7016,Ferroskutterudite,4/m32/m,Im3m
7017,Ferrostalderite,42m,I42m
7021,Ferrotaaffeite-2N2S,6mm,P63mc
7022,Ferrotaaffeite-6N3S,32/m2/m,R3m
7025,Ferro-taramite,2/m,C2/m
7026,Ferrotitanowodginite,2/m,C2/c
7028,Ferrotochilinite,2/m,C2/m
7029,Ferrotorryweiserite,32/m2/m,R3m
7030,Ferro-tschermakite,2/m,C2/m
7031,Ferrotychite,332/m,Fd3
7032,Ferrovalleriite,32/m2/m,R3m
7034,Ferrovorontsovite,43m,I43m
7035,Ferrowodginite,2/m,C2/c
7039,Ferrowyllieite,2/m,P21/n
7040,Ferruccite,2/m2/m2/m,Cmcm
7042,Fersmanite,2/m,C2/c
7043,Fersmite,2/m2/m2/m,Pcan
7044,Fersmite,2/m2/m2/m,Pbcn
7046,Feruvite,3mm,R3m
7051,Fetiasite,2/m,P21/m
7055,Fettelite,2,C2
7057,Fettelite,32/m2/m,P3m1
7058,Feynmanite,2/m,P2/n
7059,Fianelite,2/m,P21/n
7061,Fibroferrite,3,R3
7066,Fichtelite,2,P21
7068,Fiedlerite,1,P1
7069,Fiedlerite,2/m,P21/a
7070,Fiemmeite,2/m,P21/c
7071,Filatovite,2/m,I2/c
7072,Filipstadite,4/m32/m,Fd3m
7075,Fillowite,3,R3
7076,Finchite,2/m2/m2/m,Pbcn
7078,Fingerite,1,P1
7081,Finnemanite,6/m,P63/m
7083,Finnemanite,6,P63
7085,Fischesserite,432,I4132
7086,Fivegite,2mm,Pm21n
7089,Fizelyite,2/m,P21/n
7090,Flaggite,1,P1
7092,Flagstaffite,2mm,Fdd2
7093,Flamite,6,P63
7095,Fleetite,4/m32/m,Fd3m
7097,Fleischerite,62m,P62c
7098,Fleisstalite,2/m2/m2/m,Pnma
7100,Fletcherite,4/m32/m,Fd3m
7102,Flinkite,2/m2/m2/m,Pnma
7104,Flinteite,2mm,Pna21
7107,Florencite-(Ce),32/m2/m,R3m
7108,Florencite-(Nd),32/m2/m,R3m
7109,Florencite-(Sm),32/m2/m,R3m
7110,Florenskyite,2/m2/m2/m,Pnma
7111,Florensovite,4/m32/m,Fd3m
7113,Florkeite,1,P1
7114,Fluckite,1,P1
7116,Fluellite,2/m2/m2/m,Fddd
7118,Fluoborite,6/m,P63/m
7122,Fluocerite-(Ce),622,P6322
7123,Fluocerite-(Ce),32/m2/m,P3c1
7125,Fluocerite-(La),32/m2/m,P3c1
7126,Fluocerite-(La),6/m2/m2/m,P63/mmc
7127,Fluocerite-(La),622,P6322
7130,Fluorannite,2/m,C2/m
7131,Fluorapatite,6/m,P63/m
7220,Fluorapatite,2/m,P21/m
7248,Fluorapophyllite-(Cs),4/m2/m2/m,P4/nnc
7253,Fluorapophyllite-(K),4/m2/m2/m,P4/mnc
7257,Fluorapophyllite-(Na),2/m2/m2/m,Pnnm
7258,Fluorapophyllite-(NH4),4/m2/m2/m,P4/mnc
7259,Fluorarrojadite-(BaFe),m,Cc
7260,Fluorarrojadite-(BaNa),m,Cc
7261,Fluorbarytolamprophyllite,2/m,C2/m
7262,Fluorbritholite-(Ce),6,P63
7264,Fluorbritholite-(Y),6/m,P63/m
7266,Fluor-buergerite,3mm,R3m
7270,Fluorcalciobritholite,6/m,P63/m
7280,Fluorcalciomicrolite,4/m32/m,Fd3m
7281,Fluorcalciopyrochlore,4/m32/m,Fd3m
7288,Fluorcalcioromeite,4/m32/m,Fd3m
7289,Fluorcanasite,m,Cm
7291,Fluorcaphite,6,P63
7294,Fluorcarmoite-(BaNa),m,Cc
7296,Fluor-dravite,3mm,R3m
7302,Fluor-elbaite,3mm,R3m
7344,Fluorellestadite,6/m,P63/m
7350,Fluorite,4/m32/m,Fm3m
7364,Fluorkyuygenite,43m,I43d
7369,Fluor-liddicoatite,3mm,R3m
7421,Fluorluanshiweiite,2/m,C2/m
7422,Fluormayenite,43m,I43d
7427,Fluornatrocoulsellite,32/m2/m,R3m
7432,Fluornatromicrolite,4/m32/m,Fd3m
7434,Fluornatropyrochlore,4/m32/m,Fd3m
7435,Fluoro-cannilloite,2/m,C2/m
7438,Fluorocronite,4/m32/m,Fm3m
7442,Fluoro-edenite,2/m,C2/m
7455,Fluorokinoshitalite,2/m,C2/m
7456,Fluoro-leakeite,2/m,C2/m
7457,Fluoro-nyboite,2/m,C2/m
7459,Fluoro-pargasite,2/m,C2/m
7464,Fluoro-pedrizite,2/m,C2/m
7465,Fluorophlogopite,m,Cm
7466,Fluorophlogopite,322,P3112
7471,Fluorophlogopite,2/m,C2/m
7480,Fluoro-richterite,2/m,I2/m
7489,Fluoro-riebeckite,2/m,C2/m
7490,Fluoro-taramite,2/m,C2/m
7491,Fluorotetraferriphlogopite,2/m,C2/m
7492,Fluoro-tremolite,2/m,C2/m
7493,Fluorowardite,422,P41212
7495,Fluorphosphohedyphane,6/m,P63/m
7497,Fluorpyromorphite,6/m,P63/m
7498,Fluor-schorl,3mm,R3m
7509,Fluorsigaiite,6/m,P63/m
7510,Fluorstrophite,6,P63
7511,Fluor-tsilaisite,3mm,R3m
7518,Fluor-uvite,3mm,R3m
7528,Fluorvesuvianite,4/m2/m2/m,P4/nnc
7529,Fluorwavellite,2/m2/m2/m,Pcnm
7530,Flurlite,2/m,P21/m
7531,Foggite,222,A2122
7532,Fogoite-(Y),1,P1
7537,Foitite,3mm,R3m
7541,Folvikite,2,P2
7542,Fontanite,2/m,P21/n
7543,Fontarnauite,2/m,P21/c
7545,Foordite,2/m,C2/c
7547,Footemineite,1,P1
7548,Formanite-(Y),2/m,P2/a
7549,Formicaite,422,P41212
7553,Fornacite,2/m,P21/c
7555,Forsterite,2/m2/m2/m,Pbnm
7869,Forsterite,2/m2/m2/m,Pnma
8063,Foshagite,1,P1
8064,Fougerite,32/m2/m,R3m
8065,Fourmarierite,2mm,Bb21m
8082,Francevillite,2/m2/m2/m,Pcan
8085,Franciscanite,3,P3
8086,Francisite,2/m2/m2/m,Pmmn
8089,Franckeite,1,C1
8090,Francoanellite,32/m2/m,R3c
8091,Francoisite-(Ce),2/m,P21/c
8092,Francoisite-(Nd),2/m,P21/c
8094,Franconite,2/m,P21/c
8096,Frankamenite,1,P1
8097,Frankdicksonite,4/m32/m,Fm3m
8098,Frankhawthorneite,2/m,P21/n
8099,Franklinfurnaceite,2,C2
8100,Franklinite,4/m32/m,Fd3m
8173,Fransoletite,2/m,P21/a
8174,Franzinite,322,P321
8175,Freboldite,6mm,P63mc
8177,Fredrikssonite,2/m2/m2/m,Pbam
8178,Freedite,2/m,C2/m
8180,Freieslebenite,2/m,P21/a
8182,Freitalite,2/m,P21/a
8184,Fresnoite,4mm,P4bm
8187,Freudenbergite,2/m,C2/m
8190,Friedelite,2/m,C2/m
8191,Friedrichbeckeite,6/m2/m2/m,P6/mcc
8192,Friedrichite,2mm,Pb21m
8194,Fritzscheite,2/m2/m2/m,Pnam
8195,Frohbergite,2/m2/m2/m,Pmnn
8197,Frolovite,1,P1
8201,Frondelite,2/m2/m2/m,Cmcm
8202,Froodite,2/m,C2/m
8203,Fuenzalidaite,32/m2/m,P3c1
8204,Fuettererite,3,R3
8205,Fukalite,2/m2/m2/m,Bmmb
8206,Fukalite,2/m,P21/c
8207,Fukuchilite,332/m,Pa3
8208,Fulbrightite,1,P1
8209,Fuloppite,2/m,C2/c
8214,Gabrielite,1,P1
8215,Gabrielsonite,2mm,P21ma
8216,Gachingite,2/m2/m2/m,Cmca
8219,Gadolinite-(Nd),2/m,P21/c
8224,Gadolinite-(Y),2/m,P21/c
8232,Gadolinite-(Y),2/m,P21/a
8233,Gagarinite-(Ce),6/m,P63/m
8234,Gagarinite-(Y),6/m,P63/m
8235,Gageite,2/m2/m2/m,Pnnm
8239,Gahnite,4/m32/m,Fd3m
8334,Gaidonnayite,2mm,P21nb
8335,Gaildunningite,2/m2/m2/m,Amam
8336,Gainesite,4/m2/m2/m,I41/amd
8337,Gaitite,1,P1
8338,Gajardoite,6/m2/m2/m,P6/mmm
8340,Galaxite,4/m32/m,Fd3m
8342,Galeaclolusite,2/m2/m2/m,Pnma
8345,Galeite,3mm,P31m
8348,Galena,4/m32/m,Fm3m
8356,Galenobismutite,2/m2/m2/m,Pnam
8359,Galenobismutite,2/m2/m2/m,Pnma
8371,Galgenbergite-(Ce),1,P1
8372,Galileiite,3,R3
8374,Galkhaite,43m,I43m
8376,Galliskiite,1,P1
8377,Gallite,42m,I42d
8379,Gallobeudantite,3mm,R3m
8380,Galloplumbogummite,32/m2/m,R3m
8383,Galuskinite,2/m,P21/c
8385,Gamagarite,2/m,P21/m
8386,Gananite,43m,P43m
8388,Ganomalite,6,P6
8389,Ganophyllite,2/m,A2/a
8390,Ganophyllite,2/m,I2/a
8391,Ganterite,2/m,C2/c
8393,Gaotaiite,332/m,Pa3
8394,Garavellite,2/m2/m2/m,Pnam
8395,Garmite,2/m,C2/m
8396,Garpenbergite,2/m2/m2/m,Ibmm
8397,Garrelsite,2/m,C2/c
8399,Garronite-Ca,4/m,I41/a
8401,Garronite-Ca,422,P41212
8402,Garronite-Ca,42m,I4m2
8404,Garronite-Na,2,I2
8405,Gartrellite,1,P1
8412,Garutiite,6/m2/m2/m,P63/mmc
8415,Garyansellite,2/m2/m2/m,Pbna
8416,Gasparite-(Ce),2/m,P21/n
8418,Gasparite-(La),2/m,P21/n
8419,Gaspeite,32/m2/m,R3c
8424,Gatedalite,4/m2/m2/m,I41/acd
8426,Gatehouseite,222,P212121
8428,Gatelite-(Ce),2/m,P21/a
8429,Gatewayite,2,P21
8433,Gaudefroyite,6/m,P63/m
8447,Gaultite,2mm,F2dd
8448,Gauthierite,2/m,P21/c
8449,Gayite,2/m,C2/c
8451,Gaylussite,2/m,C2/c
8452,Gazeevite,32/m2/m,R3m
8454,Gearksutite,1,P1
8455,Gebhardite,2/m,P21/c
8456,Gedrite,2/m2/m2/m,Pnma
8469,Geerite,43m,F43m
8470,Geffroyite,4/m32/m,Fm3m
8471,Gehlenite,42m,P421m
8498,Geigerite,1,P1
8500,Geikielite,3,R3
8506,Gelosaite,2/m,P21/n
8509,Geminite,1,P1
8510,Geminite,1,C1
8511,Gengenbachite,3mm,P31c
8514,Genplesite,6/m2/m2/m,P63/mmc
8516,Genthelvite,43m,P43n
8518,Geocronite,2/m,P21/m
8521,Georgbarsanovite,3mm,R3m
8522,Georgbokiite,2/m,P21/c
8524,Georgechaoite,2mm,P21nb
8525,George-ericksenite,2/m,C2/c
8527,Georgerobinsonite,2/m2/m2/m,Pmmn
8528,Georgiadesite,2/m,P21/c
8530,Gerenite-(Y),1,P1
8532,Gerhardtite,222,P212121
8534,Germanite,43m,P43n
8535,Germanocolusite,43m,P43m
8539,Gersdorffite-P213,332,P213
8541,Gersdorffite-Pa3,332/m,Pa3
8543,Gersdorffite-Pca21,2mm,Pca21
8546,Gerstleyite,m,Cm
8548,Gerstmannite,2/m2/m2/m,Bbcm
8549,Geschieberite,2mm,Pna21
8550,Geschieberite,2/m2/m2/m,Pnma
8555,Getchellite,2/m,P21/a
8557,Geversite,332/m,Pa3
8560,Ghiaraite,1,P1
8563,Giacovazzoite,2/m,P21/c
8567,Gianellaite,43m,F43m
8570,Gibbsite,2/m,P21/n
8573,Giessenite,222,P212121
8574,Giessenite,2/m,P21/n
8576,Giftgrubeite,2/m,C2/c
8580,Gillardite,32/m2/m,R3m
8583,Gillespite,4/m2/m2/m,P4/ncc
8588,Gillespite,222,P21212
8591,Gillespite,422,P4212
8598,Gillulyite,2/m,P2/n
8600,Gilmarite,1,P1
8601,Giniite,2/m2/m2/m,Cmmm
8602,Giniite,2/m,P2/a
8604,Giraudite-(Zn),43m,I43m
8605,Girvasite,2/m,P21/c
8608,Gismondine-Sr,222,B2212
8609,Gittinsite,2,C2
8610,Giuseppettite,3mm,P31c
8611,Gjerdingenite-Ca,2/m,C2/m
8612,Gjerdingenite-Fe,2/m,C2/m
8613,Gjerdingenite-Mn,2/m,C2/m
8614,Gjerdingenite-Na,2/m,C2/m
8615,Gladite,2/m2/m2/m,Pbnm
8616,Gladite,2/m2/m2/m,Pmcn
8623,Gladiusite,2/m,P21/n
8624,Glagolevite,1,C1
8627,Glauberite,2/m,C2/c
8631,Glaucochroite,2/m2/m2/m,Pbnm
8637,Glaucodot,2mm,Pn21m
8638,Glaucophane,2/m,C2/m
8647,Glaukosphaerite,2/m,P21/a
8648,Glikinite,2/m,P21/m
8650,Glushinskite,2/m,C2/c
8651,Gmalimite,4/m32/m,Pm3m
8652,Gmelinite-Ca,6/m2/m2/m,P63/mmc
8662,Gmelinite-K,6/m2/m2/m,P63/mmc
8664,Gmelinite-Na,6/m2/m2/m,P63/mmc
8683,Gobbinsite,2mm,Pmn21
8685,Gobbinsite,2/m2/m2/m,Pmnb
8686,Gobelinite,2/m,P21/c
8687,Godlevskite,222,C222
8688,Godlevskite,42m,I42d
8689,Godovikovite,322,P321
8691,Goedkenite,2/m,P21/m
8694,Goethite,2/m2/m2/m,Pbnm
8712,Goethite,2/m2/m2/m,Pnma
8725,Gold,4/m32/m,Fm3m
8741,Goldfieldite,43m,I43m
8746,Goldhillite,2/m,P21/c
8747,Goldichite,2/m,P21/c
8753,Goldmanite,4/m32/m,Ia3d
8758,Goldquarryite,1,P1
8759,Goldschmidtite,4/m32/m,Pm3m
8762,Golyshevite,3mm,R3m
8765,Gonnardite,42m,I42d
8777,Goosecreekite,2,P21
8778,Gorbunovite,2/m,C2/m
8780,Gorceixite,3mm,R3m
8781,Gorceixite,m,Cm
8782,Gorceixite,32/m2/m,R3m
8784,Gordaite,3,P3
8787,Gordonite,1,P1
8788,Gorerite,6/m2/m2/m,P63/mmc
8790,Gorgeyite,2/m,C2/c
8791,Gorgeyite,2/m,B2/b
8797,Gormanite,1,P1
8799,Goryainovite,2/m2/m2/m,Pbcm
8800,Goslarite,222,P212121
8805,Gottardiite,2/m2/m2/m,Cmca
8806,Gottlobite,222,P212121
8811,Gotzenite,1,P1
8817,Gowerite,2/m,P21/a
8819,Goyazite,32/m2/m,R3m
8821,Graemite,2/m2/m2/m,Pcmm
8824,Graeserite,2/m,C2/m
8828,Graftonite,2/m,P21/c
8834,Graftonite-(Ca),2/m,P21/c
8836,Graftonite-(Mn),2/m,P21/c
8838,Gramaccioliite-(Y),3,R3
8839,Grammatikopoulosite,2/m2/m2/m,Pnma
8840,Grandaite,2/m,P21/m
8843,Grandidierite,2/m2/m2/m,Pbnm
8851,Grandreefite,2/m,A2/a
8853,Grandviewite,1,P1
8857,Graphite,6mm,P63mc
8859,Graphite,2/m2/m2/m,Cmma
8860,Graphite,2/m2/m2/m,Cmmm
8861,Graphite,2/m2/m2/m,Pcca
8862,Graphite,2/m2/m2/m,Pban
8863,Graphite,2/m2/m2/m,Fmmm
8864,Graphite,6/m2/m2/m,P63/mmc
8865,Graphite,32/m2/m,R3m
8867,Gratianite,2/m,C2/m
8871,Gratonite,3mm,R3m
8872,Grattarolaite,3mm,R3m
8873,Graulichite-(Ce),32/m2/m,R3m
8874,Graulichite-(La),32/m2/m,R3m
8877,Gravegliaite,2/m2/m2/m,Pnma
8878,Grechishchevite,2/m2/m2/m,Pbnm
8879,Greenalite,2/m,C2/m
8880,Greenlizardite,1,P1
8883,Greenockite,6mm,P63mc
8886,Greenwoodite,32/m2/m,P3m1
8891,Greifensteinite,2/m,C2/c
8894,Greigite,4/m32/m,Fd3m
8895,Grenmarite,2/m,P2/c
8896,Grguricite,1,P1
8898,Griceite,4/m32/m,Fm3m
8900,Griffinite,2/m2/m2/m,Cmcm
8901,Grigorievite,1,P1
8903,Grimaldiite,32/m2/m,R3m
8904,Grimaldiite,3mm,R3m
8907,Grimmite,4/m32/m,Fd3m
8909,Grimselite,62m,P62c
8913,Griphite,332/m,Pa3
8915,Grischunite,2/m2/m2/m,Pcab
8916,Groatite,2/m,C2/c
8917,Grokhovskyite,3mm,R3m
8919,Grootfonteinite,6mm,P63mc
8920,Grootfonteinite,6/m2/m2/m,P63/mmc
8921,Grossite,2/m,C2/c
8923,Grossmanite,2/m,C2/c
8925,Grossular,4/m32/m,Ia3d
8999,Grossular,1,I1
9044,Groutite,2/m2/m2/m,Pbnm
9045,Groutite,2/m2/m2/m,Pnma
9046,Grumantite,2mm,Fdd2
9047,Grumiplucite,2/m,C2/m
9048,Grundmannite,2/m2/m2/m,Pnma
9054,Grunerite,2/m,C2/m
9058,Guanacoite,2/m,P21/c
9061,Guanajuatite,2/m2/m2/m,Pnma
9063,Guanine,2/m,P21/n
9066,Gudmundite,2/m,P21/c
9068,Gudmundite,2/m,B21/d
9069,Guerinite,2/m,P21/n
9070,Guettardite,2/m,P21/a
9072,Guettardite,2/m,P21/c
9073,Gugiaite,42m,P421m
9074,Guidottiite,6,P63
9075,Guildite,2/m,P21/m
9077,Guilleminite,2mm,P21nm
9078,Guimaraesite,2/m,C2/c
9079,Guite,4/m32/m,Fd3m
9081,Gungerite,2/m2/m2/m,Pbcn
9083,Gunningite,2/m,C2/c
9085,Gunterblassite,2mm,Pnm21
9086,Gunterite,2/m,C2/m
9087,Gupeiite,4/m32/m,Fm3m
9091,Gurimite,32/m2/m,R3m
9098,Gurzhiite,1,P1
9103,Gustavite,2/m,P21/c
9104,Gustavite,2/m2/m2/m,Cmcm
9106,Gutkovaite-Mn,m,Cm
